site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,delay,hiding_location,pick,correct,researcher,life_expectancy,norm_age
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,1,3,short,1,3,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,2,4,medium,3,2,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,2,5,medium,2,3,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,2,6,medium,3,1,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,3,7,long,2,2,1,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,3,8,long,2,3,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,1,3,9,long,1,1,1,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,2,1,10,long,3,3,1,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,2,1,11,long,3,3,1,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,2,1,12,long,1,3,0,julia,39,-0.6271472377524218
DPZ,long_tailed_macaque,lotte_dpz,8,10,yes,60,single,2,2,13,medium,1,1,1,julia,39,-0.6271472377524218
