site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,condition,hiding_location,pick,correct,researcher,life_expectancy,norm_age
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,2,15,short,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,3,16,medium,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,3,17,medium,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,2,3,18,medium,1,2,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,1,19,short,1,2,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,1,20,short,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,1,21,short,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,2,22,long,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,2,23,long,1,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,2,24,long,2,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,3,25,medium,2,2,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,3,26,medium,1,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,3,3,27,medium,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,1,28,long,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,1,29,long,1,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,1,30,long,2,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,2,31,medium,1,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,2,32,medium,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,2,33,medium,2,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,3,34,short,2,3,0,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,3,35,short,1,1,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,flojo_edi,7,11,yes,60,single,4,3,36,short,3,3,1,voelter,46,-0.9191283695052642
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,1,1,short,1,1,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,1,2,short,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,1,3,short,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,2,4,long,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,2,5,long,2,3,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,1,2,6,long,1,3,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,2,3,7,medium,2,3,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,rosa_edi,8,11,yes,60,single,3,3,8,medium,1,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,willow_edi,5,11,yes,60,single,1,1,1,medium,3,2,0,voelter,46,-1.1589081259526026
edinburgh,brown_capuchin_monkey,willow_edi,5,11,yes,60,single,1,1,2,medium,2,3,0,voelter,46,-1.1589081259526026
edinburgh,brown_capuchin_monkey,willow_edi,5,11,yes,60,single,1,1,3,medium,1,3,0,voelter,46,-1.1589081259526026
edinburgh,brown_capuchin_monkey,willow_edi,5,11,yes,60,single,1,2,4,long,2,2,1,voelter,46,-1.1589081259526026
edinburgh,brown_capuchin_monkey,willow_edi,5,11,yes,60,single,1,2,5,long,3,2,0,voelter,46,-1.1589081259526026
